Maze,time-eucledian in ms,steps-euclidean,time-manhattan in ms,steps-manhattan
99x99_0,137,18161,66,6740
99x99_1,136,18678,19,3488
99x99_2,68,18121,65,5038
99x99_3,122,18397,49,4114
99x99_4,44,18029,30,4589
99x99_5,53,18697,68,7436
99x99_6,70,18087,29,6462
99x99_7,76,18730,17,5030
99x99_8,31,17936,9,2886
99x99_9,31,18816,40,2840
99x99_10,52,18167,25,3507
99x99_11,33,19138,10,2319
99x99_12,94,18200,35,6558
99x99_13,90,18794,34,4048
99x99_14,86,18364,26,2559
99x99_15,96,18756,34,4050
99x99_16,52,18511,24,2551
99x99_17,73,18397,15,2010
99x99_18,72,19011,51,4780
99x99_19,77,18744,32,2928
99x99_20,35,18442,7,2239
99x99_21,29,18352,35,6377
99x99_22,32,18412,45,5283
99x99_23,28,18615,14,4660
99x99_24,26,18431,15,4802
99x99_25,60,18454,31,4915
99x99_26,29,18379,15,4654
99x99_27,52,18430,27,5463
99x99_28,67,18498,23,5597
99x99_29,32,17906,17,4877
99x99_30,30,18818,23,6032
99x99_31,32,18552,33,8228
99x99_32,29,18440,7,2350
99x99_33,29,18686,15,4502
99x99_34,26,18373,48,10527
99x99_35,29,18646,7,2386
99x99_36,36,18116,15,4411
99x99_37,29,18590,11,3597
99x99_38,29,18582,33,5748
99x99_39,109,18635,28,5349
99x99_40,26,18240,50,10459
99x99_41,28,18233,18,5551
99x99_42,38,18824,44,5250
99x99_43,30,18561,21,4405
99x99_44,29,18466,24,6503
99x99_45,25,18343,17,4926
99x99_46,33,18708,24,5799
99x99_47,30,18448,10,2424
99x99_48,30,18050,16,4495
99x99_49,59,17867,44,2830
99x99_50,74,18190,43,5978
99x99_51,89,18355,43,5628
99x99_52,76,18395,16,5224
99x99_53,91,18284,7,2465
99x99_54,62,18293,5,2232
99x99_55,37,18342,50,7297
99x99_56,40,18433,19,5255
99x99_57,61,18670,43,4653
99x99_58,78,18410,28,3440
99x99_59,78,18776,7,2510
99x99_60,23,18287,16,5558
99x99_61,36,18767,23,4271
99x99_62,31,18504,64,5970
99x99_63,119,18073,33,7481
99x99_64,77,19071,31,6924
99x99_65,24,18500,12,2671
99x99_66,45,19271,35,4421
99x99_67,100,18516,46,4142
99x99_68,68,18507,20,2737
99x99_69,87,18503,51,2852
99x99_70,31,18067,21,6083
99x99_71,28,18438,11,3662
99x99_72,39,18023,13,4376
99x99_73,44,18039,31,4633
99x99_74,99,18728,111,6543
99x99_75,75,18151,48,5685
99x99_76,49,18460,20,5563
99x99_77,31,18846,22,5716
99x99_78,27,18511,9,2823
99x99_79,27,18562,50,3902
99x99_80,43,18282,59,5828
99x99_81,50,18399,38,5264
99x99_82,58,18298,42,5126
99x99_83,34,18417,65,4538
99x99_84,42,18644,18,5270
99x99_85,26,18242,14,4841
99x99_86,27,18391,12,4516
99x99_87,25,18082,9,3571
99x99_88,21,17963,7,3299
99x99_89,23,18846,7,3021
99x99_90,33,18435,7,2444
99x99_91,22,18567,13,4627
99x99_92,26,18421,50,10881
99x99_93,22,18305,16,5206
99x99_94,23,18129,16,5130
99x99_95,23,17830,11,3800
99x99_96,49,18833,20,3051
99x99_97,45,19066,18,3125
99x99_98,24,18338,7,2317
99x99_99,35,18008,19,5952
Averages,49.859999999999999,18442.990000000002,27.710000000000001,4710.7399999999998
